mmsiNumber,Vessel_Name,Vessel_Type,Vessel_Category
218800000,SEELAND,cargo,CARGO
255805938,LYRA,Cargo,CARGO
477541400,JOAN,,TANKER
205723000,N/A ,,UNKNOWN
210319000,N/A ,,CARGO
236655000,N/A ,,CARGO
218858000,HENRIKE,cargo,CARGO
636018897,N/A ,,UNKNOWN
245529000,HENDRIK S,cargo,CARGO
257324000,JASMINE KNUTSEN,tanker,TANKER
249446000,N/A ,,TANKER
257207000,HAGLAND CHIEF,cargo,CARGO
246252000,N/A ,,CARGO
257059310,GALANT,fishing,FISHING
229668000,N/A ,,TANKER
258829000,BONA STAR,cargo,CARGO
219004355,BB PILEN,tug,TUG
305661000,MARLA,cargo,CARGO
245180000,OSTBORG,cargo,CARGO
219024752,N/A ,,UNKNOWN
246669000,LONGVIK,cargo,CARGO
218627000,VERA RAMBOW,container,CARGO
253201000,N/A ,container,CARGO
218728000,JOSEFIN,cargo,CARGO
477173500,N/A ,,UNKNOWN
219083000,N/A ,,TANKER
275343000,N/A ,,CARGO
219022147,HELGA,Pleasure Craft ,PLEASURE
219018754,N/A ,,FISHING
211562710,JUMAR,Pleasure Craft ,PLEASURE
219023582,FIE,other ,OTHER
256793000,N/A ,,CARGO
209857000,N/A ,,CARGO
566351000,MAERSK KATALIN,Chemical/Oil Tanker,TANKER
220435000,DNK NAVY PATROL P524,Military Ops,MILITARY
231025000,LISTERVIK,cargo,CARGO
236597000,N/A ,,CARGO
311164000,N/A ,,UNKNOWN
257141000,IMPERATOR,cargo,CARGO
219024284,CAMILLA FJORD,cargo,CARGO
266120000,N/A ,,TANKER
305674000,N/A ,,CARGO
244089000,N/A ,,TANKER
266468000,NIMBUS,Chemical/Oil Tanker,TANKER
255806139,DANITA,cargo,CARGO
219020446,N/A ,,UNKNOWN
255805989,COSTAMAR,cargo,CARGO
236111817,MV SCHILLIG,cargo,CARGO
314191000,WILSON GDANSK,cargo,CARGO
244910000,N/A ,,CARGO
257847800,N/A ,PILOT,PILOT
